team,fifa_rank,fifa_points,rank_date
Afghanistan,151.0,1034.37,2024-06-20
Albania,66.0,1379.4,2024-06-20
Algeria,44.0,1474.13,2024-06-20
American Samoa,188.0,890.97,2024-06-20
Andorra,162.0,996.05,2024-06-20
Angola,92.0,1248.94,2024-06-20
Anguilla,209.0,779.86,2024-06-20
Antigua and Barbuda,148.0,1052.8,2024-06-20
Argentina,1.0,1860.14,2024-06-20
Armenia,96.0,1230.79,2024-06-20
Aruba,194.0,873.9,2024-06-20
Australia,23.0,1571.29,2024-06-20
Austria,25.0,1560.03,2024-06-20
Azerbaijan,111.0,1179.88,2024-06-20
Bahamas,203.0,823.58,2024-06-20
Bahrain,81.0,1302.86,2024-06-20
Bangladesh,185.0,896.67,2024-06-20
Barbados,177.0,932.64,2024-06-20
Belarus,98.0,1219.78,2024-06-20
Belgium,3.0,1797.98,2024-06-20
Belize,184.0,901.43,2024-06-20
Benin,91.0,1254.18,2024-06-20
Bermuda,171.0,971.15,2024-06-20
Bhutan,183.0,904.1,2024-06-20
Bolivia,84.0,1282.43,2024-06-20
Bosnia and Herzegovina,75.0,1332.3,2024-06-20
Botswana,145.0,1064.19,2024-06-20
Brazil,4.0,1791.85,2024-06-20
British Virgin Islands,207.0,801.29,2024-06-20
Brunei Darussalam,191.0,881.73,2024-06-20
Bulgaria,82.0,1295.5,2024-06-20
Burkina Faso,67.0,1375.16,2024-06-20
Burundi,140.0,1091.24,2024-06-20
Cabo Verde,65.0,1380.53,2024-06-20
Cambodia,180.0,924.52,2024-06-20
Cameroon,49.0,1458.47,2024-06-20
Canada,48.0,1461.74,2024-06-20
Cayman Islands,195.0,865.34,2024-06-20
Central African Republic,127.0,1129.3,2024-06-20
Chad,178.0,929.97,2024-06-20
Chile,40.0,1496.13,2024-06-20
China PR,88.0,1267.51,2024-06-20
Chinese Taipei,163.0,991.34,2024-06-20
Colombia,12.0,1669.44,2024-06-20
Comoros,119.0,1158.71,2024-06-20
Congo,113.0,1176.45,2024-06-20
Congo DR,61.0,1400.93,2024-06-20
Cook Islands,187.0,896.59,2024-06-20
Costa Rica,52.0,1454.2,2024-06-20
Croatia,9.0,1728.3,2024-06-20
Cuba,169.0,975.01,2024-06-20
Curacao,87.0,1272.71,2024-06-20
Cyprus,126.0,1136.78,2024-06-20
Czechia,34.0,1506.23,2024-06-20
Czechoslovakia,19.0,49.0,1993-12-23
Côte d'Ivoire,37.0,1499.69,2024-06-20
Denmark,21.0,1610.76,2024-06-20
Djibouti,193.0,875.13,2024-06-20
Dominica,182.0,912.93,2024-06-20
Dominican Republic,150.0,1045.64,2024-06-20
Ecuador,30.0,1517.54,2024-06-20
Egypt,36.0,1502.34,2024-06-20
El Salvador,80.0,1303.65,2024-06-20
England,5.0,1787.88,2024-06-20
Equatorial Guinea,89.0,1260.5,2024-06-20
Eritrea,195.0,855.56,2024-06-20
Estonia,123.0,1146.47,2024-06-20
Eswatini,154.0,1025.18,2024-06-20
Ethiopia,143.0,1066.16,2024-06-20
Faroe Islands,139.0,1093.7,2024-06-20
Fiji,166.0,983.81,2024-06-20
Finland,63.0,1393.4,2024-06-20
France,2.0,1837.47,2024-06-20
Gabon,83.0,1288.45,2024-06-20
Georgia,74.0,1338.91,2024-06-20
Germany,16.0,1646.78,2024-06-20
Ghana,64.0,1381.25,2024-06-20
Gibraltar,198.0,836.14,2024-06-20
Greece,51.0,1455.95,2024-06-20
Grenada,173.0,953.67,2024-06-20
Guam,204.0,821.91,2024-06-20
Guatemala,106.0,1199.21,2024-06-20
Guinea,77.0,1324.8,2024-06-20
Guinea-Bissau,115.0,1168.49,2024-06-20
Guyana,153.0,1026.61,2024-06-20
Haiti,86.0,1274.46,2024-06-20
Honduras,78.0,1313.05,2024-06-20
Hong Kong,157.0,1011.91,2024-06-20
Hungary,27.0,1529.0,2024-06-20
IR Iran,20.0,1611.16,2024-06-20
Iceland,70.0,1353.48,2024-06-20
India,124.0,1139.39,2024-06-20
Indonesia,134.0,1108.73,2024-06-20
Iraq,55.0,1433.07,2024-06-20
Israel,79.0,1312.54,2024-06-20
Italy,10.0,1724.37,2024-06-20
Jamaica,53.0,1442.82,2024-06-20
Japan,17.0,1628.81,2024-06-20
Jordan,68.0,1374.13,2024-06-20
Kazakhstan,109.0,1193.62,2024-06-20
Kenya,108.0,1195.45,2024-06-20
Korea DPR,110.0,1183.96,2024-06-20
Korea Republic,22.0,1572.87,2024-06-20
Kosovo,105.0,1203.16,2024-06-20
Kuwait,137.0,1098.42,2024-06-20
Kyrgyz Republic,101.0,1213.58,2024-06-20
Laos,189.0,889.62,2024-06-20
Latvia,138.0,1095.98,2024-06-20
Lebanon,117.0,1167.64,2024-06-20
Lesotho,149.0,1050.83,2024-06-20
Liberia,142.0,1067.05,2024-06-20
Libya,118.0,1165.73,2024-06-20
Liechtenstein,199.0,835.83,2024-06-20
Lithuania,136.0,1100.66,2024-06-20
Luxembourg,85.0,1276.73,2024-06-20
Macau,186.0,896.62,2024-06-20
Madagascar,104.0,1203.66,2024-06-20
Malawi,125.0,1137.83,2024-06-20
Malaysia,135.0,1107.58,2024-06-20
Maldives,160.0,1003.48,2024-06-20
Mali,50.0,1456.74,2024-06-20
Malta,172.0,970.62,2024-06-20
Mauritania,112.0,1177.5,2024-06-20
Mauritius,179.0,927.94,2024-06-20
Mexico,15.0,1652.33,2024-06-20
Moldova,152.0,1033.75,2024-06-20
Mongolia,190.0,884.92,2024-06-20
Montenegro,72.0,1345.02,2024-06-20
Montserrat,176.0,934.46,2024-06-20
Morocco,12.0,1669.44,2024-06-20
Mozambique,103.0,1205.82,2024-06-20
Myanmar,164.0,988.98,2024-06-20
Namibia,97.0,1219.83,2024-06-20
Nepal,175.0,935.93,2024-06-20
Netherlands,7.0,1746.66,2024-06-20
Netherlands Antilles,150.0,107.0,2011-02-02
New Caledonia,158.0,1008.92,2024-06-20
New Zealand,107.0,1197.68,2024-06-20
Nicaragua,130.0,1119.88,2024-06-20
Niger,128.0,1125.5,2024-06-20
Nigeria,38.0,1498.93,2024-06-20
North Macedonia,71.0,1348.63,2024-06-20
Northern Ireland,73.0,1341.33,2024-06-20
Norway,46.0,1466.48,2024-06-20
Oman,76.0,1326.18,2024-06-20
Pakistan,197.0,842.59,2024-06-20
Palestine,95.0,1231.25,2024-06-20
Panama,43.0,1482.1,2024-06-20
Papua New Guinea,165.0,985.32,2024-06-20
Paraguay,58.0,1427.11,2024-06-20
Peru,31.0,1515.01,2024-06-20
Philippines,147.0,1053.03,2024-06-20
Poland,26.0,1541.49,2024-06-20
Portugal,6.0,1747.04,2024-06-20
Puerto Rico,156.0,1020.22,2024-06-20
Qatar,35.0,1504.06,2024-06-20
Republic of Ireland,60.0,1403.84,2024-06-20
Romania,47.0,1462.35,2024-06-20
Russia,33.0,1506.58,2024-06-20
Rwanda,131.0,1114.15,2024-06-20
Samoa,181.0,920.54,2024-06-20
